m1,m2,m3,m4,m5,m6,m7,m8,m9,m10
-0.38,0.08,0.06,0.42,-0.18,0.06,0.1,-0.14,0.2,-0.06
-0.66,0.28,0.1,0.52,-0.18,0.12,0.02,-0.16,0.2,-0.1
-0.68,0.12,0.06,0.66,-0.32,0.24,0.0,-0.08,0.4,-0.14
-0.72,0.18,0.02,0.82,-0.32,0.34,0.06,-0.28,0.52,-0.18
-0.76,0.22,0.16,0.9,-0.3,0.46,0.06,-0.28,0.64,-0.18
-0.92,0.16,0.22,1.0,-0.3,0.56,0.16,-0.26,0.82,-0.28
-1.0,0.28,0.26,1.0,-0.36,0.68,0.04,-0.36,0.84,-0.46
-1.0,0.22,0.34,1.0,-0.42,0.86,0.04,-0.38,0.94,-0.48
-1.0,0.26,0.42,1.0,-0.36,1.0,0.0,-0.46,1.0,-0.5
-1.0,0.36,0.38,1.0,-0.42,1.0,-0.06,-0.46,1.0,-0.6
-1.0,0.34,0.5,1.0,-0.46,1.0,-0.04,-0.48,1.0,-0.6
-1.0,0.34,0.6,1.0,-0.48,0.98,-0.02,-0.66,1.0,-0.64
-1.0,0.32,0.78,1.0,-0.48,0.98,-0.02,-0.7,1.0,-0.7
-1.0,0.32,0.76,1.0,-0.52,1.0,-0.02,-0.74,1.0,-0.76
-1.0,0.36,0.72,1.0,-0.6,1.0,-0.1,-0.74,1.0,-0.8
-1.0,0.4,0.78,1.0,-0.8,1.0,-0.12,-0.76,1.0,-0.84
-1.0,0.4,0.76,1.0,-0.84,1.0,-0.04,-0.88,1.0,-0.86
-1.0,0.44,0.78,1.0,-0.92,1.0,-0.04,-0.94,1.0,-0.88
-0.98,0.4,0.82,1.0,-1.0,1.0,0.02,-0.96,1.0,-0.92
-1.0,0.5,0.92,1.0,-1.0,1.0,-0.06,-1.0,1.0,-0.98
-1.0,0.6,0.94,1.0,-1.0,1.0,-0.02,-1.0,1.0,-0.98
-1.0,0.66,0.96,1.0,-1.0,1.0,-0.14,-1.0,1.0,-0.98
-1.0,0.7,1.0,1.0,-1.0,1.0,-0.14,-1.0,1.0,-1.0
-1.0,0.74,1.0,1.0,-1.0,1.0,-0.14,-1.0,1.0,-1.0
-1.0,0.9,1.0,1.0,-1.0,1.0,-0.14,-1.0,1.0,-1.0
-1.0,0.94,1.0,1.0,-1.0,1.0,-0.1,-1.0,1.0,-1.0
-1.0,0.92,1.0,1.0,-1.0,1.0,-0.06,-1.0,1.0,-1.0
-1.0,0.96,1.0,1.0,-1.0,1.0,-0.08,-1.0,1.0,-1.0
-1.0,0.98,1.0,1.0,-1.0,1.0,-0.08,-1.0,1.0,-1.0
-1.0,0.98,1.0,1.0,-1.0,1.0,-0.08,-1.0,1.0,-1.0
