m1,m2,m3,m4,m5,m6,m7,m8,m9,m10
0.0625,-0.10875,0.0775,0.0175,-0.01125,0.06,0.04375,-0.05875,-0.0225,0.04
0.0975,-0.155,0.12375,0.01625,-0.0325,0.105,0.0725,-0.0875,0.01125,0.03625
0.1275,-0.15625,0.18625,0.01,-0.07375,0.155,0.095,-0.125,0.01625,0.0775
0.14625,-0.15,0.215,0.035,-0.07,0.15875,0.1275,-0.16125,0.04375,0.06125
0.165,-0.165,0.24,0.05,-0.06625,0.15375,0.16,-0.175,0.06125,0.075
0.19,-0.21625,0.2425,0.0425,-0.08,0.1675,0.195,-0.2025,0.08375,0.0975
0.17125,-0.2175,0.2475,0.055,-0.09875,0.18625,0.225,-0.2475,0.085,0.15
0.21375,-0.24,0.29875,0.06375,-0.12,0.23375,0.23375,-0.2425,0.0925,0.15625
0.2475,-0.2425,0.33625,0.0325,-0.11,0.23625,0.22875,-0.25875,0.10125,0.19
0.25,-0.2475,0.3425,0.0375,-0.15125,0.2225,0.22875,-0.27875,0.1225,0.19625
0.26375,-0.24375,0.38375,0.04125,-0.1625,0.2275,0.2675,-0.28375,0.115,0.1975
0.25,-0.2625,0.4,0.0425,-0.19,0.25625,0.26875,-0.29,0.1475,0.21375
0.26875,-0.27375,0.38875,0.06625,-0.205,0.2625,0.27375,-0.27125,0.15375,0.21875
0.29875,-0.305,0.37875,0.07625,-0.21,0.275,0.29125,-0.28,0.165,0.24
0.29375,-0.32,0.38875,0.07125,-0.21625,0.27125,0.3,-0.29625,0.17375,0.255
0.2875,-0.3325,0.3975,0.0925,-0.21875,0.30625,0.3175,-0.32125,0.19375,0.2925
0.2925,-0.36375,0.41875,0.10125,-0.2325,0.3325,0.34,-0.3125,0.1925,0.3025
0.30125,-0.375,0.4275,0.1175,-0.24,0.37625,0.36625,-0.3275,0.20375,0.3125
0.315,-0.39375,0.42125,0.11125,-0.24,0.39625,0.39125,-0.33375,0.2025,0.30125
0.30875,-0.3875,0.41,0.11875,-0.24875,0.4075,0.395,-0.32625,0.2125,0.29125
0.30625,-0.375,0.42625,0.11,-0.26,0.42,0.40125,-0.33,0.20125,0.2925
0.3075,-0.38125,0.4425,0.095,-0.255,0.44,0.4,-0.34375,0.20875,0.285
0.31,-0.39,0.4375,0.09625,-0.26,0.45375,0.4125,-0.37,0.22,0.29
0.3125,-0.38625,0.44875,0.08875,-0.26875,0.465,0.425,-0.3725,0.23375,0.31375
0.3125,-0.38875,0.47375,0.07125,-0.265,0.49125,0.43875,-0.37375,0.2525,0.31875
0.3025,-0.40875,0.47625,0.07875,-0.25875,0.50125,0.44375,-0.37625,0.25375,0.33
0.3075,-0.42625,0.47125,0.09875,-0.2525,0.525,0.4625,-0.38375,0.2575,0.35125
