m1,m2,m3,m4,m5,m6,m7,m8,m9,m10
-0.0025,-0.00375,-0.024375,0.0225,0.03,0.003125,-0.0190625,-0.005625,0.009375,-0.015625
-0.0103125,-0.005,-0.033125,0.04,-0.00375,-0.010625,-0.0215625,-0.01375,0.03,-0.0496875
-0.0103125,-0.001875,-0.036875,0.0328125,0.0,0.024375,-0.0078125,-0.0203125,0.0428125,-0.0440625
-0.0078125,-0.0053125,-0.0275,0.0371875,-0.0078125,0.0121875,-0.0109375,-0.0353125,0.055625,-0.0309375
-0.02,-0.0121875,-0.019375,0.0175,-0.0171875,0.011875,-0.0296875,-0.0265625,0.03375,-0.0025
-0.0425,-0.0275,-0.0103125,0.0275,-0.0184375,0.010625,-0.051875,-0.0334375,0.04625,-0.00375
-0.03375,-0.0628125,-0.0140625,0.02625,-0.001875,0.00875,-0.0440625,-0.0309375,0.03875,-0.008125
-0.036875,-0.03875,-0.0175,0.035,-0.029375,-0.0009375,-0.0553125,-0.0271875,0.041875,0.0015625
-0.0403125,-0.034375,-0.0015625,0.0415625,-0.0209375,0.005625,-0.0603125,-0.0178125,0.0590625,0.009375
-0.041875,-0.0075,0.003125,0.0690625,-0.0228125,-0.004375,-0.0559375,-0.0340625,0.05625,-0.0046875
-0.03375,-0.008125,-0.0184375,0.0828125,-0.039375,-0.0228125,-0.0715625,-0.0359375,0.075,-0.0115625
-0.0403125,0.0071875,-0.0075,0.088125,-0.03125,-0.0328125,-0.06,-0.0475,0.0878125,-0.0278125
-0.0340625,0.006875,-0.008125,0.1071875,-0.0375,-0.035,-0.058125,-0.05875,0.0821875,-0.02375
-0.039375,0.0153125,-0.006875,0.1096875,-0.060625,-0.04875,-0.0703125,-0.0746875,0.063125,-0.04
-0.0321875,0.019375,0.005,0.08625,-0.0509375,-0.029375,-0.073125,-0.053125,0.06125,-0.0459375
-0.03375,-0.0178125,0.0146875,0.0696875,-0.05375,-0.049375,-0.08125,-0.0659375,0.07125,-0.02625
-0.029375,-0.01375,0.009375,0.083125,-0.058125,-0.0446875,-0.0771875,-0.0484375,0.0709375,-0.0571875
-0.034375,-0.0175,0.0128125,0.05875,-0.0740625,-0.0296875,-0.0834375,-0.045625,0.0634375,-0.041875
-0.0275,-0.0015625,0.0259375,0.0503125,-0.0871875,-0.0265625,-0.07375,-0.053125,0.0590625,-0.0328125
-0.021875,-0.0146875,0.021875,0.036875,-0.0840625,-0.035,-0.074375,-0.0684375,0.028125,-0.02125
-0.0240625,0.0025,0.015625,0.054375,-0.0809375,-0.0440625,-0.068125,-0.06625,0.003125,-0.028125
-0.0046875,-0.034375,0.033125,0.0521875,-0.0975,-0.045,-0.074375,-0.0771875,0.010625,-0.0475
-0.0128125,-0.0415625,0.060625,0.0540625,-0.08625,-0.04875,-0.0890625,-0.0871875,0.0375,-0.024375
-0.020625,-0.0484375,0.0559375,0.0346875,-0.081875,-0.0525,-0.1034375,-0.091875,0.0240625,-0.031875
-0.045625,-0.053125,0.0525,0.02375,-0.09,-0.0559375,-0.1071875,-0.0953125,0.0078125,-0.0375
-0.054375,-0.053125,0.0475,0.0025,-0.09875,-0.0503125,-0.1165625,-0.1025,0.0075,-0.031875
